City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Rawson,AR,77.05,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
Ojuelos De Jalisco,MX,70.29,overcast clouds,21.8667,-101.5833,Hotel La Paz
State College,US,72.52,light rain,40.7934,-77.86,Hampton Inn State College
Poum,NC,71.2,overcast clouds,-20.2333,164.0167,
Flin Flon,CA,78.64,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
Arinos,BR,81.72,scattered clouds,-15.9169,-46.1056,casa do bruno
Balikpapan,ID,74.39,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
Sao Filipe,CV,80.11,moderate rain,14.8961,-24.4956,Hotel Xaguate
Shimoda,JP,76.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
Katsuura,JP,79.07,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
Pangkalanbuun,ID,71.2,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
Touros,BR,76.57,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
Ponta Do Sol,PT,72.23,overcast clouds,32.6667,-17.1,Hotel do Campo
Sungairaya,ID,77.88,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
Locri,IT,73.31,clear sky,38.2414,16.2623,Grand Hotel President
Muisne,EC,76.23,overcast clouds,0.6,-80.0333,Quinta Samay
Miri,MY,71.74,light rain,4.4148,114.0089,"Mega Hotel, Miri"
Las Palmas,ES,72.39,few clouds,28.4204,-14.0131,Casillas De Morales 59.
Wenling,CN,72.59,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
Lorengau,PG,81.32,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
Punta Alta,AR,72.16,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
Santa Maria Del Oro,MX,70.07,overcast clouds,25.9333,-105.3667,Hotel Palacio Del Sol
Itarema,BR,78.76,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
Isangel,VU,72.5,moderate rain,-19.55,169.2667,Tanna Lodge
Hobyo,SO,75.83,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
Tarakan,ID,74.7,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
Comodoro Rivadavia,AR,73.26,dust,-45.8667,-67.5,Austral Hotel
Kyabe,TD,70.77,broken clouds,9.4515,18.9449,
Kiri Buru,IN,74.7,overcast clouds,22.0833,85.35,Lucky India
Chhapra,IN,84.18,overcast clouds,25.7667,84.75,Indralok Hotel
Teahupoo,PF,76.96,scattered clouds,-17.8333,-149.2667,Vanira Lodge
Tual,ID,80.55,broken clouds,-5.6667,132.75,Grand Vilia Hotel
Tezu,IN,73.85,overcast clouds,27.9167,96.1667,Circuit House
Portland,US,81.57,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
Verrettes,HT,84.69,overcast clouds,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
Morehead,US,83.98,scattered clouds,37.2711,-87.1764,CCI Express Inn
Westport,US,82.27,broken clouds,41.1415,-73.3579,The Westport Inn
San Quintin,MX,79.97,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
Srandakan,ID,75.4,broken clouds,-7.9386,110.2506,Puri Brata
La Libertad,EC,71.26,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
Halifax,CA,70.45,overcast clouds,44.6453,-63.5724,Hotel Halifax
Kavaratti,IN,79.03,moderate rain,10.5669,72.642,Green leaf
